DateTime,PlayersCount
8/1/2006 22:00,6282
8/1/2006 23:00,6026
8/10/2006 0:00,1670
8/10/2006 1:00,1296
8/10/2006 2:00,788
8/10/2006 3:00,577
8/10/2006 4:00,343
8/10/2006 5:00,224
8/10/2006 6:00,201
8/10/2006 7:00,209
8/10/2006 8:00,320
8/10/2006 9:00,500
8/10/2006 10:00,713
8/10/2006 11:00,690
8/10/2006 12:00,902
8/10/2006 13:00,1084
8/10/2006 14:00,1212
8/10/2006 15:00,1254
8/10/2006 16:00,1024
8/10/2006 17:00,1205
8/10/2006 18:00,1056
8/10/2006 19:00,1177
8/10/2006 20:00,1432
8/10/2006 21:00,1704
8/10/2006 22:00,1816
8/10/2006 23:00,1448
8/13/2006 0:00,2169
8/13/2006 1:00,1697
8/13/2006 2:00,1110
8/13/2006 3:00,755
8/13/2006 4:00,539
8/13/2006 5:00,388
8/13/2006 6:00,338
8/13/2006 7:00,345
8/13/2006 8:00,458
8/13/2006 9:00,599
8/13/2006 10:00,894
8/13/2006 11:00,1097
8/13/2006 12:00,1070
8/13/2006 13:00,1239
8/13/2006 14:00,1364
8/13/2006 15:00,1501
8/13/2006 16:00,1563
8/13/2006 17:00,1466
8/13/2006 18:00,1367
8/13/2006 19:00,1604
8/13/2006 20:00,1951
8/13/2006 21:00,2141
8/13/2006 22:00,2193
8/13/2006 23:00,2143
8/20/2006 0:00,2472
8/20/2006 1:00,1848
8/20/2006 2:00,1352
8/20/2006 3:00,849
8/20/2006 4:00,477
8/20/2006 5:00,318
8/20/2006 6:00,226
8/20/2006 7:00,223
8/20/2006 8:00,424
8/20/2006 9:00,727
8/20/2006 10:00,863
8/20/2006 11:00,1293
8/20/2006 12:00,1290
8/20/2006 13:00,1441
8/20/2006 14:00,1702
8/20/2006 15:00,1766
8/20/2006 16:00,1776
8/20/2006 17:00,1531
8/20/2006 18:00,1345
8/20/2006 19:00,1708
8/20/2006 20:00,2221
8/20/2006 21:00,2392
8/20/2006 22:00,2378
8/20/2006 23:00,2247
8/27/2006 0:00,2145
8/27/2006 1:00,1657
8/27/2006 2:00,1230
8/27/2006 3:00,831
8/27/2006 4:00,545
8/27/2006 5:00,353
8/27/2006 6:00,258
8/27/2006 7:00,246
8/27/2006 8:00,324
8/27/2006 9:00,578
8/27/2006 10:00,892
8/27/2006 11:00,1202
8/27/2006 12:00,1249
8/27/2006 13:00,1471
8/27/2006 14:00,1623
8/27/2006 15:00,1758
8/27/2006 16:00,1801
